word,definition,translation
X-Rated Algebra,"Math questions with a hidden mature content, which may sound illogical at first sight, but are nevertheless ""sensibly solvable.""\n> An x-rated algebra question that went viral many years ago is: ""Maya is 21 years older than her son Raju. In 6 years, Maya will be 5 times as old as Raju. Where was Maya's husband?"" Answer: On top of his wife—the baby will be out in about a year (x = –1).\n",
X-Rated Math,"Math books whose sexy titles subliminally conjure up images more apt for an adult movie.\n> Since he stepped down as an adjunct professor, Dr. Davis is planning to write a series of x-rated math books for a mature audience: ""Math Needn't Be a Four Letter Word,"" ""Intimacy with Sexy Curves,"" and ""Vital Statistics for Bitches & Jerks.""\n",
X-rated Topology,A demonstration of topology concepts in real life before a lay audience of mature students.\n> Two examples of x-rated topology are:\n> Removing one's underwear without taking off one's pair of trousers.\n> Taking off one's bra without removing one's T-shirt.\n,
x-ray,v. examine by taking x-rays\nv. take an x-ray of something or somebody,"a. X射线的\nvt. 用X光检查, 照X光\nvi. 使用X光"
X-ray absorption,,[化] X射线吸收
X-ray absorption analysis,,[化] X射线吸收分析法
X-ray absorption near edge structure,,[化] X射线吸收近边结构
X-ray absorption spectrometry,,[化] X射线吸收光谱法
X-ray activation analysis,,[化] X射线活化分析
X-ray astronomy,,X射线天文学[参较 x-ray]
X-ray background radiation,,[化] X射线本底辐射
x-ray bath,,[医] X线浴
x-ray beam,,"[医] X线束, X线柱"
x-ray burn,,[医] X线灼伤
x-ray camera,,[医] X线照相机
X-ray crystallography,,[化] X射线晶体学\n[医] X线晶体照相术
x-ray dectecting device,,[电] X射线探测装备
x-ray dermatitis,,[医] X线皮炎
X-ray diffraction,,"[化] X射线衍射\n[医] X线衍射, X线绕射"
X-ray diffraction analysis,,[化] X射线衍射分析
x-ray diffraction camera,,[电] X射线绕射照相机
X-ray diffraction pattern,,"[医] X线绕射图形, X线衍射范型"
X-ray diffractometer,,"[化] X射线衍射仪\n[医] X线衍射表, X线绕射表"
X-ray diffractometry,,[化] X射线衍射学
x-ray dose,,[医] X线[剂]量
X-ray energy spectrometer,,[化] X射线能谱仪
X-ray equipment,,[化] X射线设备
X-ray escape peak,,[化] X射线逃逸峰
X-ray fault detector,,[化] X射线探伤仪
X-ray film,,[化] X射线底片; X射线胶片\n[医] X线胶片
X-ray flaw detector,,[化] X射线探伤仪
X-ray fluorescence,,[化] 次级辐射
X-ray fluorescence anaiysis,,[化] 荧光X射线谱分析
X-ray fluorescence analysis,,[化] X射线荧光分析
X-ray fluorescence spectrometer,,[化] X射线荧光光谱仪
X-ray fluorescence spectrometry,,[化] X射线荧光光谱法
X-ray fluorescnece analysis,,[化] X射线荧光分析
x-ray fluorimetry,,[机] X射线萤光分析法
x-ray generator,,[电] X射线产生器
x-ray goniometer,,[电] X射线测向器
x-ray illominator,,"[医] X线映光器, X线施照器, X线观察灯箱"
X-ray image,,[化] X射线照片
X-ray luminescence,,[化] X射线发光
X-ray machine,,[网络] X光机；X射线机；X光机器
X-ray microscope,,[医] X线显微镜
X-ray necrosis,,[医] X线性坏死
x-ray paper,,[医] X线照相纸
X-ray peak broadening,,[化] X射线峰增宽
X-ray photoelectron spectroscopy,,[化] X射线光电子能谱; X射线光电子能谱学
X-ray photograph,,[化] X射线照相
x-ray photography,,[医] X线照相术
X-ray photometer,,[化] X射线光度计
X-ray photon spectroscopy,,[化] X射线光子光谱学
X-ray picture,,[化] X射线照片\n[医] X线[照]片
x-ray plates,,[医] X线[硬]片
X-ray proof rubber,,[化] X射线防护橡胶
X-ray shield,,[化] X射线防护屏
x-ray short,,[医] X线疗法
x-ray sickness,,"[医] 放射病, X线中毒"
x-ray spectra,,[医] X线谱
X-ray spectrochemical analysis,,[化] X射线光谱化学分析
X-ray spectrograph,,[化] X射线摄谱仪
X-ray spectrometer,,[化] X射线分光计\n[医] X线分光计
x-ray spectroscopy,,[医] X线光谱学
x-ray spectrum,,[电] X射线谱
X-ray spectrum analysis,,[化] X射线谱分析
X-ray structure analysis,,[化] X射线结构分析
x-ray switch,,[医] X线闸
x-ray table,,"[医] X线台, X线诊断台"
x-ray target,,[电] X射线靶
X-ray test,,[化] X射线试验; X射线探伤
x-ray therapy,,n. X光治疗
x-ray thickness gage,,[电] X射线厚度计
x-ray tube,,[电] X射线管
x-ray tubes,,[医] X线管
x-ray's photography,,[电] X射线照相术
X-ray-transmitting glass,,[化] 透X射线玻璃
x-rayed,v examine by taking x-rays\nv take an x-ray of something or somebody,v. 照X光( x-ray的过去式 )
x-raying,n obtaining images by the use of X rays\nv examine by taking x-rays\nv take an x-ray of something or somebody,vt. 照X光（x-ray的现在分词形式）
X-rays,n electromagnetic radiation of short wavelength produced when high-speed electrons strike a solid target\nn a radiogram made by exposing photographic film to X rays; used in medical diagnosis\nv examine by taking x-rays\nv take an x-ray of something or somebody,"[化] X射线\n[医] X线, X射线, 伦琴线"
x-rays tube,,[医] X线管
X-rayted,"TSA rating for airport, naked body scan images.\n> Scanner [Operator]: ""Hey [Sarge], [check out] these X-rayted [pics] that I scanned this afternoon"".\n",
X-reactive dyes,,[化] X型反应染料; X型活性染料
X-ring,,检查环
X-SCID,,[网络] 重症联合免疫缺陷；免疫缺陷综合症；严重复合免疫缺陷病
X-section,,[化] 交叉截面
x-term,,X终端
x-terminal,, [计]X终端
x-terminals,plural of x-terminal,(x-terminal 的复数)  [计]X终端
x-terms,plural of x-term,(x-term 的复数) X终端
X-tube,,[化] X射线管
x-type,, 交叉形
X-type groove,,[化] X型坡口
x-wave,,[电] X波动
X-window,,[计] X窗口
x-wing,, X翼战机
x-y switch,,[电] XY开关
X.,,"[医] 十分之一效度(顺势疗法), 金伯克氏X线剂量单位"
X.25,,[计] X.25标准
X.25 gateway,,[计] X.25网关
X.25 interface,,[计] X·25接口
X.25 network,,[计] X.25网络
X.25 protocol,,[计] X·25协议
X.25 recommendation,,[计] X·25建议
X/Open,,[计] X/Open组织
x2 test,,[医] 卡方测验
x_X,"dead chibi smiley. used to show that one is dead. or embarrassed. or in trouble. yeah, you get the picture.\n> i'm screwed. x_X\n",
xa,,abbr. 辅助放大器（Auxiliary Amplifier）
xacorin,,茶碱胆碱(强心、利尿剂)
xact,,abbr. exact(ly) 精确的（地），准确的（地）（代号）; X (in any computer) automatic code translation X（任何计算机）自动编码转换器
xade,, [地名] [博茨瓦纳] 达代
xalapa,,abbr. Jalapa 贾拉普公司（美国公司）（代号）
xalatan,, [医]适利达（含latanoprost）<眼科用药>
xalogen,,眠尔通
xalostocite,,[矿]蔷薇榴石
xalsonte,,粗粒砂; 砾石堆积
xan,,n. 黄嘌呤（等于xanthine）
xanadu,,"n. 华厦,行宫,世外桃源"
Xanaps,"Xanaps\r\n\r\nThe brief but heavy periods of sleep which commonly accompany the use of the benzodiazepine alprazolam, a.k.a. Xanax.\r\n\r\nIf you don't get much sleep at night and decide to take a little Xanax the next day to 'relax', you can expect to be taking a Xanap very shortly afterwards.\r\n\r\nOften employed by [white hats] of low moral fortitude to get into the pants of unsuspecting young women. These men, incidentally, should be killed with [anthrax] for their utter [fucktardation].\r\n\r\n \n> Frat Boy A: Dude, what happened to those chicks we brought home from the bar?\n> Frat Boy B: They're still in the car taking Xanaps, you sneaky serial date rapist, you!\n> (high five, followed by unrequited homosexual thoughts)\n",
xanax,n an antianxiety agent (trade name Xanax) of the benzodiazepine class,n. 阿普唑仑（药名）；赞安诺；相呐斯（镇静剂）；性药名
xanax bar,"A 2 mg [Xanax] , that is shaped like a bar  | ==== | . Can be divided into 1/4s . Abused by many. \n> I just snorted a xanax bar , now i fill like rockin.\n",
Xanaxplanation,"When you have to make up an explanation for the night before, because you took Xanax and have no idea what you did.\n> You better have a damn good Xanaxplanation for last night. [viagravation] [qualudicrous]\n",
Xanchromatic,,(=xanthochromatic)黄色的
xander,,n. (Xander)人名；(英)赞德
Xandir,"Xandir is a character on a cartoon reality TV show parody, ""Drawn Together"". He's a video game parody. (I'm guessing Link from Zelda.) He's 19 and discovering his homosexuality as he joins the Drawn Together house.\r\n\r\nAnd yes, he's possibly the best character on Drawn Together!\n> ""Why is it when whenever something doesn't work, your first impulse is to eat it?""\n",
XANES,,[化] X射线吸收近边结构
xanga,"1. A weblog community\r\n2. A journal for people to \r\n     a.)Bitch about their life\r\n     b.)Post literature (poetry, etc.)\r\n     c.)Brag about their rich social life (usually made up events to seem ungodly popular)\r\n     d.)Chronicle their day\r\n     e.)Just to have one- because all their friends are doing it!\r\n     f.)To piss people off\n> 2a. ""I can't take it anymore, I cut myself again today, life sucks so much,I want to die""\n> 2c. So like Jenny called and wanted to know if I could come over,and Matt called, and Brian asked me to go to the mall with him. So I went to the mall and met up with some more of my friends and some guys sstarted hitting on me thety were like so hot,too!\n> 2d.I woke up, brushed my teeth, took a shower, went on the computer...\n>      f.)Heyy guyz sup yall im just chillin leave propz MwAhZzZ omg TaNya 2dai wuz soOoO much fun lOlz--LuV yA LoTzZ xOxOJaNiE\n",
Xango Juice,"The latest edition of the oldest scam in the book: The Pyramid Scheme. This time it's the ""multi-layered marketing"" of a $25.00 bottle of magical juice made from a fruit called mangostein. Essentially it's the same juice you can buy from Cosco for about $2.00 a bottle. But you're not buying juice, as these snake oil salesman claim, you're buing a ""distribution business"" to make $100,000 a month in passive income. Yeah, you're buying a business that requires you to spend a minimum of $100 per month on overpriced juice. And to make money you have to get suckers to sign up to purchase $100 worth of juice a month and they have to get more people to sign up, ect. ect. ect. Then they tell you to write off any expenses you incurr (such as cable bills, beer costs, and internet access expenses)as ""business expenses"" related to your bogus juice business. I don't know what's more pathetic, the scam itself or the dozens of poor, dumb and desperate downtrodden idiots who show up to those Xango meetings listening to obvious plants in the audience claiming to make $200,000 a month in juice money.\n> Frank is 50, has a degree in gym, is divorced and  his entire retirement savings consists of fifty bucks and the lottery ticket he bought this morning. But now he has hope because he signed up to pay $100 a month for juice he doesn't even like in hope of someday earning $800,000 an year in passive income with his own Xango Juice distribution business.\n",
xanies,"slang for xanax (alprazolam), a commonly prescribed benzodiazepine\n> we were crashing hard off that coke, until we hit off some xanies and passed out.\n",
Xannies,"Xannies is a slang term for Xanax, an anti-anxiety medication often abused by satan worshiping skateboarders.\n> ""I slipped myself some pink Xannies\n> And danced around the house in all-over print panties\n> My mom's gone, that fucking broad will never understand me\n> I'm not gay, I just wanna boogie to some Marvin""\n> -Tyler the Creator (yonkers)\n",
xanorphica,,一种弦乐器
Xantal,,赞塔尔铝青铜
xanth,, [医][=xanthomatosis]黄瘤病，黄脂增生病
xanthacin,,黄色球粘细菌素
xanthaematin,,"[医] 血黄素, 黄色正铁血红素(血红素黄色衍生物)"
xanthagenate,,磺酸盐
xanthaline,,"(=papaveraldine)鸦片黄, 罂粟酮碱"
xanthalysin,,溶黄菌素
xanthamide,"n. An amido derivative of xanthic acid obtained as a white\n   crystalline substance, C2H5O.CS.NH2; -- called also xanthogen amide.",[医] 黄原酰胺
xanthan,,"n. 黄原胶（增稠剂和稳定剂在食品工业, 医学和药学领域）"
xanthan gum,,[化] 黄原胶; 汉生胶
xanthane,,苍耳烷
xanthanol,,苍耳醇
xanthate,n. a salt or ester of xanthic acid,n. 黄原酸盐\n[化] 黄原酸盐(或酯)
xanthates,,黄原酸盐
xanthatin,,叶黄制菌素
xanthation,,"黄原酸化作用, 黄化"
xanthator,,黄原酸化装置
Xanthe,,n. 赞茜(f.)
xanthein,,"n. 黄色色素, 花黄素"
xantheine,,n. 黄色色素
xanthelasma,n xanthoma of the eyelids; occurs chiefly in the elderly,[医]黄斑瘤
xanthelasmatosis,,[医] 黄瘤病
xanthelasmoidea,,"[医] 类黄瘤, 着色性荨麻疹"
xanthellin,,黄枯草菌素
xanthematin,,"血黄素, 黄色正铁血红素"
xanthemia,n excess carotene in the blood stream; can cause the skin to turn a pale yellow or red color,胡萝卜素血(症)
xanthemia test,,[医] 胡萝卜素血试验(检胡萝卜素血)
xanthene,,n. [化] (夹)氧杂蒽
xanthene dye,,[化] ┷吨染料
xanthene dyes,,[化] ┷吨染料
xanthene dyestuffs,,[建] 二苯喃染料
xanthene ketone,,[建] 二苯喃酮
xanthenol,,吨酚
xanthenone,,[化] ┷吨酮
xanthenyl,,"吨基, 夹氧(杂)蒽基"
xanthenyl-carboxylic acid,,[化] ┷吨羧酸
xantherine,,黄色灵
xanthian,"a. Of or pertaining to Xanthus, an ancient town on Asia\n   Minor; -- applied especially to certain marbles found near that place,\n   and now in the British Museum.",a. 赞西亚的（土耳其西南部一城市）
xanthic,"a. Tending toward a yellow color, or to one of those colors,\n   green being excepted, in which yellow is a constituent, as scarlet,\n   orange, etc.\na. Possessing, imparting, or producing a yellow color; as,\n   xanthic acid.\na. Of or pertaining to xanthic acid, or its compounds;\n   xanthogenic.\na. Of or pertaining to xanthin.","a. 黄色的, 黄嘌呤的, 带黄色的\n[医] 黄色的, 黄嘌呤的"
xanthic acid,,"黄原酸, 氧荒酸\n[化] 黄原酸; 乙氧基二硫代甲酸"
xanthic amide,,[化] 黄原酰胺
xanthic calculus,,[医] 黄嘌呤石
xanthic disulfide,,[化] 二硫化黄原酰; 二硫化二黄原酰
xanthicin,,黄色菌素
Xanthidae,,扇蟹科
xanthide,n. A compound or derivative of xanthogen.,[医] 植物黄质化物
xanthin,"n. A crystalline nitrogenous body closely related to both\n   uric acid and hypoxanthin, present in muscle tissue, and occasionally\n   found in the urine and in some urinary calculi. It is also present in\n   guano. So called from the yellow color of certain of its salts\n   (nitrates).\nn. A yellow insoluble coloring matter extracted from yellow\n   flowers; specifically, the coloring matter of madder.\nn. One of the gaseous or volatile decomposition products of\n   the xanthates, and probably identical with carbon disulphide.",n. 叶黄素\n[医] 植物黄质
xanthine,n. crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine,"n. 黄质, 黄嘌呤\n[化] 黄嘌呤"
xanthine bases,,[医] 黄嘌呤硷
xanthine bodies,,"[医] 黄嘌呤体, 嘌呤硷"
xanthine dehydrogenase,,[医] 黄嘌呤脱氢酶
xanthine nucleotide,,[化] 黄苷酸
xanthine oxidase,,[化] 黄嘌呤氧化酶\n[医] 黄嘌呤氧化酶
xanthine test,,[医] 黄嘌呤试验(检血一氧化碳)
xanthines,-s form of xanthine\nn. crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine,"(xanthine 的第三人称 -s形式) n. 黄质, 黄嘌呤\n[化] 黄嘌呤"
xanthinin,,n. 一种类似尿素的盐基性白色结晶
xanthinol niacinate,,[化] 占替诺烟酸盐; 烟胺羟丙茶碱
xanthinoxidase,,[医] 黄嘌呤氧化酶
xanthinuria,,n. [医]黄嘌呤尿
xanthiol,,[化] 硫蒽哌醇
xanthiosite,,黄砷镍矿
xanthippe,,"n. 粘西比(苏格拉底之妻), 悍妇"
xanthism,,n. 黄色素过多症
xanthitane,,锐钛矿
xanthite,,黄符山石
xanthium,n. A genus of composite plants in which the scales of the\n   involucre are united so as to form a kind of bur; cocklebur; clotbur.,n. 苔儿属
Xanthium canadense,,[医] 加拿大苍耳
Xanthium japonicum Willd,,[医] 苍耳
Xanthium L.,,[医] 苍耳属
Xanthium spinosum,,[医] 刺苍耳
xanthiuria,,[医] 黄嘌呤尿
xantho,,扇蟹属
xantho-, A combining form from Gr. xanqo`s yellow; as in\n   xanthocobaltic salts. Used also adjectively in chemistry.,表示“黄色”之义
xantho-protein reaction,,[化] 黄色蛋白反应
xanthoaphin,,蚜黄素
xanthobilirubic acid,,[化] 黄胆红酸\n[医] 黄胆红酸
xanthocarpous,a. Having yellow fruit.,a. [植]有黄色果实的
xanthocarpus,,[植]结黄色果实的
Xanthoceras Bge.,,[医] 文冠果属
xanthochelidonic acid,,[化] 黄白屈菜酸
xanthochroi,"n. pl. A division of the Caucasian races, comprising the\n   lighter-colored members.",pl. 白色人种
xanthochroia,,"[医] 黄变, 黄化(皮肤)"
xanthochroic,a. Having a yellowish or fair complexion; of or\n   pertaining to the Xanthochroi.,a. 白种人的
xanthochroid,,发肤颜色甚浅的人
xanthochroism,,n. (某些动物尤指水族馆金鱼的)黄色现象
xanthochroite,,硫镉矿
xanthochromatic,,[医] 黄色的
xanthochromia,,[医] 黄变(脑脊液或皮肤)
xanthochromic,,"[医] 黄变的, 黄色的"
xanthochromic jaundice,,"[医] 黄变病性黄疸, 掌跖粘膜黄疸"
xanthochromium,,黄铬基团
xanthochroous,,"a. (皮肤和头发)呈淡黄色的,带黄色的"
xanthochvoite,,硫镉矿
Xanthochymus pictorius,,[医] 香港倒捻子
xanthocidin,,杀黄菌素
xanthocilin,,[化] 占托西林; 黄青霉素
xanthocillin,,青黄霉素
xanthocobaltic,,黄钴基团
xanthoconite,,n. [矿]黄砷硫银矿
xanthocreatinine,,黄肌酸酐
xanthocurine,,黄箭毒素
xanthocyanopsia,,"红绿色盲, 黄蓝视症"
xanthocystine,,[医] 黄胱氨酸
xanthocyte,,[医] 黄色细胞
xanthoderm,,"[医] 黄肤者, 黄种人"
xanthoderma,,黄色皮肤
xanthodont,,a. [动]有黄齿的
xanthodontous,a. Having yellow teeth.,[医] 黄牙的
xanthoerythodermia,,黄红皮肤
xanthofagarine,,黄崖椒碱
xanthofibroma thecocellulare,,[医] 黄体瘤
xanthogen,n. The hypothetical radical supposed to be characteristic\n   of xanthic acid.\nn. Persulphocyanogen.,黄原
xanthogenamide,,乙黄原酰胺
xanthogenate,n. A salt of xanthic acid.,n. [化]黄原酸盐
xanthogenation,,[化] 黄原酸化作用
xanthogenic,,黄酸盐的
xanthogenic acid,,"[化] 黄原酸; 氧荒酸; (专指)乙基黄原酸\n[医] 黄原酸, 硫羟羰碳酸乙酯"
xanthoglobulin,,次黄嘌呤
xanthogranuloma,,[医] 黄肉芽肿
xanthogranulomatosis,,[医] 黄肉芽肿病
xanthohumol,,黄腐酚
xanthokyanopy,,"[医] 红绿色盲, 黄蓝视症"
xantholine,,山道年
xantholite,,十字石
xanthoma,n. a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism,"n. 黄瘤, 黄疣, 黄色瘤\n[医] 黄瘤"
xanthoma cells,,[医] 黄瘤细胞
xanthoma diabeticorum,,[医] 糖尿病黄瘤
xanthoma disseminatum,,[医] 播散性黄瘤
xanthoma multiplex,,[医] 多数性黄瘤
xanthoma palpebrarum,,[医] 黄斑瘤
xanthoma planum,,[医] 扁平黄瘤
xanthoma tuberosum,,[医] [多数]结节性黄瘤
xanthomat,,真空黄化器
xanthomatosis,n widespread xanthomas (especially on elbows and knees); often associated with a disorder of lipid metabolism,n. [医]黄瘤症
xanthomatosis bulbi,,[医] 眼球黄瘤病(角膜脂变)
xanthomatosis generalisata ossium,,[医] 全身性骨黄瘤病
xanthomatous,,[医] 黄瘤的
xanthomatous cirrhosis,,[医] 积脂性硬变
xanthomelanous,,a. 有橄榄色(或黄色)皮肤和黑色头发的
xanthometer,,水色计
xanthommatin,,眼黄素
xanthomonad,n bacteria producing yellow non-water-soluble pigments; some pathogenic for plants,黄(单胞)杆菌
Xanthomonas,n a genus of bacteria similar to Pseudomonas but producing a yellow pigment that is not soluble in water,[医] 黄[单胞]杆菌属
xanthomous,,"xanthomous (comparative more xanthomous, superlative most xanthomous)\nOf or pertaining to a xanthoma.\n"
xanthomycin,,"n. [微]链霉黄素,胍甲四环素"
xanthomyeloma,,"[医] 黄髓瘤, 黄肉瘤"
xanthonate,,(=xanthate)黄原酸盐[酯]
xanthonation,,黄原酸化作用
xanthone,,n. [化]一种化学原料(为杀虫剂及合成染料)
xanthonic acid,,[化] 黄原酸; 乙氧基二硫代甲酸
xanthopathia,,n. 黄肤症
xanthophane,n. The yellow pigment present in the inner segments of\n   the retina in animals. See Chromophane.,视网膜黄素
xanthophore,,n. [生]黄色素细胞
xanthophose,,[医] 黄色幻视
xanthophyceae,n. yellow-green algae,黄藻
xanthophyl,n yellow carotenoid pigments in plants and animal fats and egg yolks,"n. 叶黄素, 胡萝卜醇"
xanthophyll,n yellow carotenoid pigments in plants and animal fats and egg yolks,[医] 叶黄素
xanthophyllite,,黄绿脆云毋
xanthophyta,,黄藻
xanthopia,,[医] 黄视症
xanthopicrin,,秦椒黄
xanthopicrite,,[医] 花椒树脂
xanthoplanine,,竹叶椒碱
xanthoplasty,,"[医] 黄肤, 皮肤变黄"
xanthopone,,乙基黄原酸锌
xanthoproteic,"a. Pertaining to, or derived from, xanthoprotein;\n   showing the characters of xanthoprotein; as, xanthoproteic acid; the\n   xanthoproteic reaction for albumin.",a. 黄色蛋白质的
xanthoproteic indices,,[医] 黄蛋白[质]指数
xanthoproteic reaction,,[医] 黄色蛋白[质]反应
xanthoproteic test,,[医] 黄色蛋白试验(检蛋白质)
xanthoproteie acid,,[医] 黄蛋白酸
xanthoprotein,n. A yellow acid substance formed by the action of hot\n   nitric acid on albuminous or proteid matter. It is changed to a deep\n   orange-yellow color by the addition of ammonia.,n. [生化]黄色蛋白
xanthoprotein reaction,,[医] 黄色蛋白[质]反应
xanthopsia,n. visual defect in which objects appear to have a yellowish hue; sometimes occurs in cases of jaundice,"n. 黄幻视, 视物显黄症, 黄视症\n[医] 黄视症"
xanthopsin,,"视黄质, 眼黄素(昆虫)"
xanthopsis,,[医] [癌]黄色素沉着
xanthopsy,,"n. (=xanthopsia)黄视症, 所看之物皆显黄色之症"
