word,definition,translation
yachtsman,n. a person who owns or sails a yacht,"n. 游艇驾驶者, 游艇所有者"
yachtsmanship,, 快艇驾驶法
yachtsmen,pl.  of Yachtsman,"n. 快艇的主人, 游艇的主人, 帆船运动爱好者( yachtsman的名词复数 )"
yachtswoman,n a person who owns or sails a yacht,"n. 快艇(或游艇)的女主人,驾驶快艇(或游艇)的女子,女帆船运动员"
yachtswomen,n. a person who owns or sails a yacht,"n. 快艇（或游艇）的女主人, 驾驶快艇（或游艇）的女子, 女帆船运动员( yachtswoman的复数形式 )"
yachty,,"a. 似快艇的, 适合游艇的"
yack,n noisy talk\nv talk incessantly and tiresomely,"n. (=yackety-yak)废话, 哄堂大笑"
yack away,,[网络] 离开了
yacked,v. talk incessantly and tiresomely,"n. 废话（等于yackety-yak）；哄堂大笑；侃大山\nvi. 闲聊, 侃大山"
yacket,,"n. (=yackety-yak)废话, 哄堂大笑"
yackety-yak,,"n. 没有意义的谈话, 废话"
yacking,v. talk incessantly and tiresomely,"n. 废话（等于yackety-yak）；哄堂大笑；侃大山\nvi. 闲聊, 侃大山"
yacks,n. noisy talk\nv. talk incessantly and tiresomely,"n. 废话（等于yackety-yak）；哄堂大笑；侃大山\nvi. 闲聊, 侃大山"
yacoub,, [人名] 雅各布
yacs,plural of yac,(yac 的复数) abbr. yeast artificial chromosome 酵母人工染色体
yad,, [医][=yeast alcohol dehydrogenase]酵母乙醇脱氢酶
yada,,n. (Yada)人名；(土)亚达
yadadamean,"Bay Area slang for ""you know what I'm sayin?"" Other variations include ""[yadadaimsayin]"" and ""[yadada] I'm talkin bout?""\n> im bout to put this [thizz] in my life....[spark] this [bleezy] and take it from there yadadamean?\n",
yadav,,n. (Yadav)人名；(尼、印、印尼)亚达夫
yadavaran,,n. 雅达瓦兰（油田名称），位于伊朗南部，两伊交界处
yadira,, [人名] 亚迪拉
Yadkin,,n. 亚德金河（美国北卡罗来纳州皮迪河的上游）
Yado,,轰炸引导系统
yae,,n. (Yae)人名；(日)弥惠(名)
yaeger,, [人名] 耶格尔
yael,,n. 雅艾尔（女子名）
YAF,imp. Gave. See Give.,美国青年争取自由组织
Yafa,,<阿拉伯>=Jaffa
yaff,,"v. 吠, 以锐声叫"
yaffe,, [人名] 亚夫
yaffil,,n. 绿色啄木鸟
yaffingale,n. The yaffle.,n. <方>[鸟]绿啄木
yaffle,"n. The European green woodpecker (Picus, / Genius, viridis).\n   It is noted for its loud laughlike note. Called also eccle, hewhole,\n   highhoe, laughing bird, popinjay, rain bird, yaffil, yaffler,\n   yaffingale, yappingale, yackel, and woodhack.",n. 绿色啄木鸟
Yafo,n a port in western Israel on the Mediterranean; incorporated into Tel Aviv in 1950,<希伯来>=Jaffa
YAG,,钇铝柘榴石
yageine,,"[医] 骆驼篷硷, 南美卡皮根硷"
yager,"n. In the German army, one belonging to a body of light\n   infantry armed with rifles, resembling the chasseur of the French army.","n. 贼鸥, 步兵, 猎人"
yagi,n. a sharply directional antenna,"n. 八木天线, 波道式天线"
Yagi aerial,,[网络] 八木天线；引向反射天线
Yagi antenna,,[电] Yagi天线
yagifraxin,,一种治痛风、风湿药
yagman,, [地名] [土库曼斯坦] 亚格曼
yago,, [地名] [墨西哥] 亚戈
yagoda,, [地名] [保加利亚] 亚戈达
yagrumo,,产于 Porto Rico 的一种蚁栖树
yaguarundi,n. Same as Jaguarondi.,n. [动] 美洲山猫
yah,,interj. (表示嘲笑、厌恶的)唷
Yahata,,"八幡(原日本九州岛北岸港市,现为北九州市)"
Yahi,,[网络] 雅希；南支雅纳人及雅希人
yahoo,"n. one of a race of brutes resembling men but subject to the Houyhnhnms in a novel by Jonathan Swift\nn. a widely used search engine for the web that finds information, news, images, products, finance","n. 人面兽心的人, 乡愚, 粗汉"
Yahoo answers,"A useful novelty created by Yahoo that was designed for those who are curious about the things in this world but are too afraid to ask.  Also, this allows people to share their knowledge with the rest of the world.  Unfortunately, after December 19, 2006, the day the message boards died, trolls now need a new home, so it looks like Yahoo Answers are about to be hijacked by ignorant trolls.\n> Typical questions found on Yahoo Answers BEFORE Dec 19, 2006:\n> How do I cook Korean food?\n> What is the best way to speak French fluently?\n> Who will win the Super Bowl?\n> Typical questions found on Yahoo Answers AFTER Dec 19, 2006:\n> Which website has the best gay asian porn?\n> Why do negro people smell like gorilla feces?\n> If I look at me sister and I get an erection, will I go to hell?\n",
yahooism,,n. 人面兽心
yahoos,"n. a person who is not very intelligent or interested in culture\nn. one of a race of brutes resembling men but subject to the Houyhnhnms in a novel by Jonathan Swift\nn. a widely used search engine for the web that finds information, news, images, products, finance","n. 雅虎( yahoo的复数形式 ); （英国作家Swift小说中<<格列佛游记>>中的）人行兽; yahoo此字可追溯到格利佛的<小人国游记>, yahoo的意思是各种野蛮"
yahourth,,[医] 酸乳
yahr,, [人名] 亚尔
Yahrzeit,,n. (犹太教)(父母或近亲的)逝世周年纪念(亦作Jahrzeit)
Yahtzee,,"n. <主美>(用掷骰子和记分表进行的)""快艇""游戏"
yahuda,, [人名] 亚胡达
Yahve,,[网络] 耶和华；雅威
yahveh,n. a name for the God of the Old Testament as transliterated from the Hebrew consonants YHVH,n. 耶和华
Yahwe,,[网络] 耶和华或耶华；耶和华；雅威
Yahweh,n. a name for the God of the Old Testament as transliterated from the Hebrew consonants YHVH,n. 耶和华
Yahwism,,"n. 耶和华崇拜,崇拜耶和华的宗教, 以耶和华为上帝之名"
Yahwist,,"n. 旧约圣经初六卷之作者, 崇拜耶和华者"
Yahwistic,,a. 旧约圣经开首几卷的作者用的；用耶和华称作上帝的
yai,,n. (Yai)人名；(泰)艾；(中)隘(广东话·威妥玛)
yair,,adv. <澳>=yeah
yajein,,"(=yageine)骆驼蓬碱, 南美卡皮根碱"
Yajur-Veda,,[网络] 夜柔吠陀；耶柔吠陀；夜摩吠陀
yak,n. noisy talk\nn. large long-haired wild ox of Tibet often domesticated\nv. talk profusely,"n. 牦牛, 饶舌, 连篇废话\nvi. 饶舌, 喋喋不休, 放声大笑"
yak butter,, 牦牛奶制的黄油
yak's milk,,[网络] 牦牛的牛奶
yaka,,亚加韧皮纤维
yakety-yak,,n. 废话
yaki,,n. 雅基
yakima,n. a town in south central Washington,n. 雅吉瓦人（住在美国的印第安部族人）
Yakimoff's test,,[医] 亚基莫夫氏试验(检氨基苯胂酸钠纯度)
yakin,"n. A large Asiatic antelope (Budorcas taxicolor) native of the\n   higher parts of the Himalayas and other lofty mountains. Its head and\n   neck resemble those of the ox, and its tail is like that of the goat.\n   Called also budorcas.",n. [动物]扭角羚
yakisoba,,[网络] 炒面；日式炒面；日式炒面作法
yakitori,,"n. 烤鸡肉串,串肉扦上腌泡过的小鸡块"
yakk,,v. 饶舌;流畅的说
yakka,,"n. 工作, 劳动"
yakked,,"<非正, 贬>没完没了地谈些无关要紧的事, 喋喋不休, 唠叨( yak的过去式和过去分词 )"
yakking,-ing form of yak\nn. noisy talk\nn. large long-haired wild ox of Tibet often domesticated\nv. talk profusely,"(yak 的现在分词) n. 牦牛, 饶舌, 连篇废话\nvi. 饶舌, 喋喋不休, 放声大笑"
yakov,,n. (Yakov)人名；(俄)雅科夫；(以)雅各布
Yakovlev,,n. (Yakovlev)人名；(俄)雅科夫列夫
yakow,,"n. 亚考牛(英国培育的一种肉用牛,由牦牛和苏格兰高原牛杂交而成)"
yakriton,,肝解毒激素(解毒药)
yaks,n. noisy talk\nn. large long-haired wild ox of Tibet often domesticated\nv. talk profusely,"n. 牦牛( yak的复数形式 ); 笑话\nv. <非正, 贬>没完没了地谈些无关要紧的事, 喋喋不休, 唠叨( yak的第三人称单数 )"
yaksha,"n. A kind of demigod attendant on Kuvera, the god of wealth.", 夜叉
yakuju,,[日]一种强壮补血药酒
yakult,, [医]酸乳[酪]，优格
yakushima,, 屋久岛
yakusimycin,,药师霉素
Yakut,n a member of a Turkic people of northeastern Siberia (mainly in the Lena river basin)\nn the Turkic language spoken by the Yakut,"n. 雅库特(苏联自治共和国名),雅库特人[语]"
yakutat,, [地名] [美国] 亚库塔特
yakutia,,abbr. Yakut Autonomous Soviet Socialist Republic 前苏联雅库特社会主义自治共和国
Yakuts,plural of Yakut\nn a member of a Turkic people of northeastern Siberia (mainly in the Lena river basin)\nn the Turkic language spoken by the Yakut,"(Yakut 的复数) n.雅库特(苏联自治共和国名),雅库特人[语]"
Yakutsk,,n. 雅库茨克(苏联城市)
yakuza,n. a Japanese gangster\nn. organized crime in Japan; an alliance of criminal organizations and illegal enterprises,n. 日本瘪三
yakuzas,n. a Japanese gangster\nn. organized crime in Japan; an alliance of criminal organizations and illegal enterprises,n. （日）瘪三；无赖
yakwool,,牦牛绒
yala,, [地名] [泰国] 也拉（惹拉）; [地名] [斯里兰卡] 亚勒; [地名] [阿根廷、刚果民主共和国、加纳、肯尼亚、坦桑尼亚] 亚拉
yalca,,耶尔卡雪暴(秘鲁北部安第斯山)
Yalding,,耶尔丁(姓氏)
Yale,n. English philanthropist who made contributions to a college in Connecticut that was renamed in his honor (1649-1721),n. 耶鲁
yale lock,,n. 耶尔锁(商标名)
Yale University,,耶鲁大学
yaletown,, 耶鲁镇
yali,,n. （在欧亚分界处的博斯普鲁斯海峡岸边的）海滨住宅
Yalie,,n. <美口>(美国)耶鲁大学学生(或毕业生)
yaller,,[美俚]=yellow
yallop,, [人名] 亚洛普
yallourn,, [地名] [澳大利亚] 亚卢恩
yalova,, [地名] [土耳其] 亚洛瓦
Yalow,,n. (Yalow)人名；(英)亚洛
yalowitz,, [人名] 亚洛维茨
yalta,"n. a resort city in Crimea in the southern Ukraine on the Black Sea; site of the Allied conference between Roosevelt, Stalin, and Churchill in February 1945",n. 雅尔塔（前苏联港市）
Yalta agreement,,[法] 雅尔塔协定
Yalta Conference,,na. 雅尔塔会议\n[网络] 雅尔达会议；雅尔塔条约；雅尔塔会议召开
Yalu,n river in eastern Asia; rises in North Korea and flows southwest to Korea Bay (forming part of the border between North Korea and China),n. 鸭绿江
Yalu River,,[网络] 鸭绿江；丹东鸭绿江；船只沿著鸭绿江
Yalung,,n. 雅龙江（长江支流）
Yalutsangpu,,River见Yarlung Zangbo River
yam,n. edible tuber of any of several yams\nn. any of a number of tropical vines of the genus Dioscorea many having edible tuberous roots\nn. sweet potato with deep orange flesh that remains moist when baked,"n. 山药, 薯蓣\n[医] 薯蓣属植物"
yam bean,, 西印度豆薯; 地瓜
yam family,,un. 薯芋科\n[网络] 山药科；薯蓣科
yam plant,,[网络] 山药厂
yama,n. Hindu god of death and lord of the underworld,n. 阎罗王
yamada,,n. 山田（日本地名；日本品牌名）
Yamadaella,,丝拟藻属
Yamagata,,"山形（地名, 一般指日本的一个县）"
yamaguchi,,n. (Yamaguchi)人名；(日)山口(姓)；(意)亚马古基
yamagutilite,,山口石(稀土锆石)
yamaha,,n. 雅马哈（山叶）商标
yamakawa,, [地名] [日本] 山川
Yamal,,亚马尔半岛[苏联西伯利亚西北部]
yamalka,,"n. (犹太男子在祷告,学习,吃饭等时戴的)圆顶小帽"
yamamai,,日本柞蚕
yamamoto,, 山本
yamanaka,,n. (Yamanaka)人名；(日)山中(姓)
yamanashi,, [地名] [日本] 山梨
yamane,,n. (Yamane)人名；(日)山根(姓)；(埃塞)亚马内
Yamani,,[网络] 雅迈您；雅曼您；日文歌词
yamanouchi,, [地名] [日本] 山内
yamaoka,, [地名] [日本] 山冈
yamasaki,, [地名] [日本] 山崎
yamase,,山背
yamasee,,n. 雅玛西人
yamashiro,, [地名] [日本] 山城
yamashita,,"山下式, 山下手翻, 屈体前手翻腾越"
yamaskite,,钙长闪辉岩
yamasol,,一种外用杀虫剂
yamato,,n. 大和人（日本人的祖先）；日本人；日本民族\na. 日本人的；大和民族的
Yamato-e,,"n. 和式绘, 浮世绘"
yamauchi,, [地名] [日本] 山内
yamba,, [地名] [澳大利亚、布基纳法索、刚果共和国、加蓬、坦桑尼亚、赞比亚] 扬巴
Yambean,,豆薯属
yambuya,, [地名] [刚果民主共和国] 扬布亚
yamen,,n. 中国古代之衙门
Yami,,"n. 雅美族人,耶美人, 雅美语,耶美语"
yamma,n. The llama.,"n. [动]美洲驼,亚美利加驼"
yammer,"v cry loudly, as of animals\nv complain whiningly","vi. 哀号, 哭泣, 嗥叫\nvt. 抱怨\nn. 哭诉, 废话"
yammered,"v cry loudly, as of animals\nv complain whiningly","v. 叹息, 哭泣, 抱怨( yammer的过去式和过去分词 )"
yammering,"v cry loudly, as of animals\nv complain whiningly","v. 叹息, 哭泣, 抱怨( yammer的现在分词 )"
yammers,"v cry loudly, as of animals\nv complain whiningly","v. 叹息, 哭泣, 抱怨( yammer的第三人称单数 )"
yamming,-ing form of yam\nn. edible tuber of any of several yams\nn. any of a number of tropical vines of the genus Dioscorea many having edible tuberous roots\nn. sweet potato with deep orange flesh that remains moist when baked,"(yam 的现在分词) n. 山药, 薯蓣\n[医] 薯蓣属植物"
Yamoussoukro,,亚穆苏克罗[科特迪瓦新都]
Yamoussukro,,[网络] 亚穆苏克罗
yamp,"n. An umbelliferous plant (Carum Gairdneri); also, its small\n   fleshy roots, which are eaten by the Indians from Idaho to California.","(=yampa, yampah)葛缕子"
yampa,, [地名] [洪都拉斯、美国] 扬帕
yampee,,三裂叶薯蓣
yampi,,"大薯, 参薯"
yams,n. edible tuber of any of several yams\nn. any of a number of tropical vines of the genus Dioscorea many having edible tuberous roots\nn. sweet potato with deep orange flesh that remains moist when baked,n. 薯蓣( yam的复数形式 ); 山药; 甘薯; 白薯
yamulka,,"n. (犹太男子在祷告,学习,吃饭等时戴的)圆顶小帽"
yamun,,"n. 衙门, 官衙"
yan,,n. 雁鸣声；泰国龙脑香
yana,n. a member of an extinct North American Indian people who lived in northern California\nn. the Yanan language spoken by the Yana,"n. 雅娜（女子名）；雅拿河（在苏联亚洲境内, 北流入Laptev海）"
yanacocha,, [地名] [秘鲁、厄瓜多尔] 亚纳科查
yanagida,, [地名] [日本] 柳田
yanai,, [地名] [日本] 柳井
Yanam,,亚南[印度东部港市]
Yanan,n a language group of the Hokan family,延安(中国陕西省一城市)
Yanaon,,n. 雅隆(位于印度东部之一城市)
yance,, [地名] [古巴] 扬塞
yancey,,n. 燕西（男子名）
yancheng,, 郾城
yandell,, [人名] 扬德尔
yandere,"Contrary to the popular belief that it is the opposite of [tsundere], it describes an [anime] character who is either [psychotic] or [violent] or both, and shows affection to the main character.  Became a popular [moe] genre after the airing of the last episode of [School Days].  Other yandere characters include Ryuuguu Rena from [Higurashi No Naku Koro Ni] series.\n> I wish there was a yandere girl who would love me so much she'll want to cleave my head with a hachet.\n",
yandle,, [人名] 扬德尔
yang,n. the bright positive masculine principle in Chinese dualistic cosmology,n. 杨（姓氏）
Yang Chen Ning,,[网络] 杨振宁教授
yanga,, [地名] [刚果共和国、刚果民主共和国、喀麦隆、乍得] 扬加
Yangon,n the capital and largest city of Myanmar; located in the south near the Irrawaddy river delta,仰光[缅甸首都](即Rangoon)
yangona,,"[医] 卡法椒, 麻醉椒(根和根茎)"
yangonin,,[化] 卡法椒素; 麻醉椒素
yangs,-s form of yang\nn. the bright positive masculine principle in Chinese dualistic cosmology,(yang 的第三人称 -s形式) n. 杨（姓氏）
yangtao,,猕猴桃
yangtse,,n. 扬子江，长江
Yangtse River,,"长江, 扬子江"
Yangtseella,,杨子贝属
yangtze,n the longest river of Asia; flows eastward from Tibet into the East China Sea near Shanghai,"n. 长江, 扬子江"
Yangtze Kiang,,[网络] 长江
yangtze river,, 长江
Yangzhou,,扬州(中国江苏省一城市)
yanhusuo,,[化] 延胡索
yani,,n. (Yani)人名；(俄)亚尼
yanina,, [地名] [希腊] 亚尼纳（约阿尼纳的旧称）
yank,"v. pull, or move with a sudden movement",v. 猛拉
yanka,, 踏上青云路
Yankauer's operation,,[医] 扬考尔氏手术(咽鼓管骨部外端闭锁术)
yanked,imp. & p. p. of Yank,"v. 猛拉（某物）( yank的过去式和过去分词 ); 拿某人开涮, 跟某人开玩笑"
Yankee,n. an American who lives in the North (especially during the American Civil War)\nn. an American (especially to non-Americans)\ns. used by Southerners for an inhabitant of a northern state in the United States (especially a Union soldier),"n. (美国的)新英格兰人, (美国)北方诸州的人, 美国佬"
Yankee corn,,[网络] 洋基玉米
yankee dollar market,,[经] 美元市场
Yankee Doodle,,扬基歌（美国独立战争时流行的一首歌曲）
Yankee-Doodle,n. an American (especially to non-Americans),扬基歌（美国独立战争时流行的一首歌曲）
Yankeedom,,"n. 美国, 美国佬, 美国人, 扬基国"
Yankeefied,,"a. 美国化的, 扬基化的"
Yankeefy,,v. 使美国化
Yankeeism,"n. A Yankee idiom, word, custom, or the like.",n. 美国作风
Yankeeize,,vt. 使美国化
Yankeeland,,"n. 新英格兰, 美国"
Yankees,n. an American who lives in the North (especially during the American Civil War)\nn. an American who lives in New England\nn. an American (especially to non-Americans),扬基债
yankeetown,, [地名] [美国] 扬基敦
yankelovich,, [人名] 扬克洛维奇
yanker,, [人名] 扬克
yanking,p. pr. & vb. n. of Yank,"v. 猛拉（某物）( yank的现在分词 ); 拿某人开涮, 跟某人开玩笑"
yankovic,, [人名] 扬科维奇
yanks,"n an American who lives in the North (especially during the American Civil War)\nn an American (especially to non-Americans)\nv pull, or move with a sudden movement",n. [美俚]美国佬（Yank的复数）；[美俚]纽约扬基棒球队（等于New York Yankees）
yankton,, [地名] [美国] 扬克顿
yann,,n. (Yann)人名；(德)扬
yannick,, [人名] 扬妮克
yannigan,,n. 一个队的第二班球手
yano,,n. (Yano)人名；(俄、西)亚诺
yanofsky,, [人名] 亚诺夫斯基
yanolite,,紫斧石
Yanomama,,n. 雅诺马马人( 巴西北部和委内瑞拉南部一个好战的原始民族的成员)
Yanomami,,雅诺马马人
Yanomamo,,雅诺马马人\n雅诺马马语
yanqui,,n. （西）美国人\na. 美国的；美国人的
yanquis,plural of yanqui,(yanqui 的复数) n. （西）美国人\na. 美国的；美国人的
yant,, [人名] 扬特
Yantai,,n. 烟台（城市名）
yantic,, [地名] [美国] 扬蒂克
yantis,, [人名] 扬蒂斯; [地名] [美国] 扬蒂斯
yantra,,n. [宗]具( 印度教和佛教坐禅时所用的线形图案)
yantras,plural of yantra,(yantra 的复数) n.[宗]具( 印度教和佛教坐禅时所用的线形图案)
yao,,n. 尧（传说中的中国古代父糸氏族社会后期部落联盟领袖）
Yao Ming,,姚明（汉语拼音）
yaohan,, 八佰伴
Yaoi,"Yaoi is a slang meaning 'boys love' or [homosexuality] that is used in the japanese language. Popular with fangirls who like their favorite anime guys to kiss.\n> Damn, I need some good [yaoi] fan-fics!\n",
Yaounde,n the capital of Cameroon,n. 雅温德(非洲喀麦隆之首都)
yaourt,"n. A fermented drink, or milk beer, made by the Turks.",n. 酸乳酪
yap,n informal terms for the mouth\nv bark in a high-pitched tone,"vi. 狂吠, 瞎扯, 责骂\nn. 狂吠, 狂吠声, 废话, 乖戾的人"
yap away,,"(狗)狂吠, 不停地叫：；不停地唠唠叨叨；没完没了地废话："
Yapese,,n. 雅浦人（太平洋雅浦岛的居民）
yapock,"n. A South American aquatic opossum (Chironectes variegatus)\n   found in Guiana and Brazil. Its hind feet are webbed, and its fore feet\n   do not have an opposable thumb for climbing. Called also water opossum.",n. （热带美洲的）蹼足负鼠
yapok,,n. (=yapok)[动]蹼足负鼠\nn. (=yapock)[动]蹼足负鼠
yapon,n. Same as Yaupon.,n. [植]代茶冬青
yapp,,"n. 卷边装订, 护边装订"
yapped,v bark in a high-pitched tone,a. 卷边装订的
yapper,,n. yap的变形
yapping,v bark in a high-pitched tone,"v. <贬> （尤指小狗）尖叫, 狂吠( yap的现在分词 ); <非正>（对一些无关紧要的事）哇啦哇啦地说个不停"
yappy,,"a. 喜欢叫嚷的,粗汉的"
yaps,n informal terms for the mouth\nv bark in a high-pitched tone,"abbr. yaw and pitch sensor 片航和前后颠簸传感器\nn. <贬> （尤指小狗）尖叫, 狂吠( yap的名词复数 ); <非正>（对一些无关紧要的事）哇啦哇啦地说个不停\nv. <贬> （尤指小狗）尖叫, 狂吠( yap的第三人称单数 ); <非正>（对一些无关紧要的事）哇啦哇啦地说个不停"
yaqona,,n. 阳高那（斐济饮料）
yaqui,,n. 雅基族（一印第安族）；雅基河
yar,,n. 纱线\nn. (Yar)人名；(土、阿富、巴基、吉尔、土库、尼日利)亚尔；(柬)亚
yara,,n. (Yara)人名；(日)屋良(姓)
yara yara,,[化] β-萘基甲基醚
yarage,"a. The power of moving, or being managed, at sea; -- said with\n   reference to a ship.","n. 可操纵性,操纵灵活性"
yarak,,"n. (猎鹰等的)良好飞行状态,强健"
yaray,,亚雷棕榈纤维
Yarborough,,n. [桥牌]没有九点以上的一手牌
yarbro,, [人名] 亚布罗
yarbrough,, [人名] [英格兰人姓氏] 亚伯勒住所名称，来源于古英语，含义是“土+堡垒”(earth+fortress)
yard,n. a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride\nn. the enclosed land around a house or other building\nn. a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)\nn. a tract of land where logs are accumulated,"n. 码, 庭院, 工场\n[化] 堆置场"
yard ape,"The term ""yard ape"" refers to a black person. It's derivation is from the lawn ornaments of black coachmen holding lanterns, or black children fishing, or many of the other lawn ornaments of that type. It has devolved into a perjorative term for blacks.\n> ""Those yard apes drank all of my 40s""\n",
yard bird,,[网络] 大鸟；院鸟
yard birds,,新兵;犯人
Yard bomb,A pile of dog crap that isn't picked up by its owner and is instead left to be stepped in.\n> My asshole neighbor never picks up his dogs droppings. Instead he leaves them behind and waits for unknowing people to step on the yard bombs.\n,
yard donkey,,[网络] 院子驴
yard goods,,按码出售的织物
yard grass,,"n. 蟋蟀草, 牛筋草"
yard line,, [体]码线
yard marker,,[网络] 码头标记
yard measure,,码尺
yard planning,,[经] 堆场调度计划
yard rope,,帆桁索
yard sailing,"A phrase used to describe the art of shopping at large numbers of yard sales, garage sales, and estate sales.\n> ""I can't WAIT to go yard sailing this weekend!""\n> ""Yard sailing is my favorite activity of late.""\n> ""There's nothing I would rather do than go yard sailing.""\n",
yard sale,,旧家具旧衣物的拍卖
yard stick,,"尺码,尺度,衡量标准"
yard stick standard cost,,[经] 尺度标准成本
yard up,,把...堆放于场内
